arm,channel,swap_type,n,mae_delta
A_diff,oi_dft,*[H]>>*c1c([H])c([H])c([H])c([H])c1[H],445,5.768440346922872
A_diff,pauli_dft,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H]>>*C([H])=O,140,13.059589963014949
A_diff,pauli_dft,*Br>>*C#N,10,9.854257454302973
A_diff,pauli_dft,*Br>>*Cl,30,21.04067894181858
A_diff,pauli_dft,*C#N>>*C(=O)C([H])([H])[H],490,3.9655913497949795
A_diff,pauli_dft,*C#N>>*C(=O)N([H])C([H])([H])[H],660,6.138860514631004
A_diff,pauli_dft,*C#N>>*C(=O)OC([H])([H])[H],305,6.9405237630023295
A_diff,pauli_dft,*C#N>>*C([H])([H])[H],500,8.911230760050728
A_diff,pauli_dft,*C#N>>*F,20,14.643230665041159
A_diff,pauli_dft,*C#N>>*[H],125,8.285708895922959
A_diff,pauli_dft,*C#N>>*c1c([H])c([H])c([H])c([H])c1[H],675,12.322802068293772
A_diff,pauli_dft,*C(=O)C([H])([H])[H]>>*C(=O)N([H])C([H])([H])[H],200,5.304456460120882
A_diff,pauli_dft,*C(=O)C([H])([H])[H]>>*C(=O)OC([H])([H])[H],190,7.164327160172528
A_diff,pauli_dft,*C(=O)C([H])([H])[H]>>*C([H])([H])[H],455,4.813614616323568
A_diff,pauli_dft,*C(=O)C([H])([H])[H]>>*[H],60,7.7952080921888145
A_diff,pauli_dft,*C(=O)C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],550,7.406716333111039
A_diff,pauli_dft,*C(=O)N([H])C([H])([H])[H]>>*C(=O)OC([H])([H])[H],285,8.211154560492398
A_diff,pauli_dft,*C(=O)N([H])C([H])([H])[H]>>*C([H])([H])[H],875,7.6559196879045635
A_diff,pauli_dft,*C(=O)N([H])C([H])([H])[H]>>*Cl,20,24.83256626074957
A_diff,pauli_dft,*C(=O)N([H])C([H])([H])[H]>>*[H],105,9.483653264967957
A_diff,pauli_dft,*C(=O)N([H])C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],470,6.309138274515514
A_diff,pauli_dft,*C(=O)OC([H])([H])[H]>>*C([H])([H])[H],685,6.560798959327348
A_diff,pauli_dft,*C(=O)OC([H])([H])[H]>>*[H],265,10.241926754798875
A_diff,pauli_dft,*C(=O)OC([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],575,9.401729700467223
A_diff,pauli_dft,*C([H])([H])[H]>>*N([H])C([H])([H])[H],140,4.021999609952601
A_diff,pauli_dft,*C([H])([H])[H]>>*OC([H])([H])[H],110,4.60290654909647
A_diff,pauli_dft,*C([H])([H])[H]>>*[H],445,6.676730663939544
A_diff,pauli_dft,*C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],400,6.672978129237575
A_diff,pauli_dft,*F>>*c1c([H])c([H])c([H])c([H])c1[H],10,8.020056468820155
A_diff,pauli_dft,*N([H])C([H])([H])[H]>>*OC([H])([H])[H],440,5.712616498108863
A_diff,pauli_dft,*[H]>>*c1c([H])c([H])c([H])c([H])c1[H],445,10.501104914161285
B_concat,cpcm_dft,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H]>>*C([H])=O,140,2.5972374951884354
B_concat,cpcm_dft,*Br>>*C#N,10,2.2681607619371893
B_concat,cpcm_dft,*Br>>*Cl,30,2.1499985380663422
B_concat,cpcm_dft,*C#N>>*C(=O)C([H])([H])[H],490,1.8565954604620916
