arm,split,channel,bin,n,sign_acc
C_symmetric,swaptype_holdout,disp_dft,"[1,2)",2325,0.9139784946236559
C_symmetric,swaptype_holdout,disp_dft,"[2,3)",1555,0.9742765273311897
C_symmetric,swaptype_holdout,disp_dft,"[3,5)",1935,0.9943152454780362
C_symmetric,swaptype_holdout,disp_dft,"[5,10)",1170,1.0
C_symmetric,swaptype_holdout,disp_dft,"[10,inf)",30,1.0
C_symmetric,swaptype_holdout,elst_dft,"[0,1)",1130,0.5460176991150443
C_symmetric,swaptype_holdout,elst_dft,"[1,2)",1135,0.5920704845814978
C_symmetric,swaptype_holdout,elst_dft,"[2,3)",950,0.7147368421052631
C_symmetric,swaptype_holdout,elst_dft,"[3,5)",1650,0.8496969696969697
C_symmetric,swaptype_holdout,elst_dft,"[5,10)",2710,0.9107011070110701
C_symmetric,swaptype_holdout,elst_dft,"[10,inf)",2105,0.9600950118764846
C_symmetric,swaptype_holdout,oi_dft,"[0,1)",1050,0.5419047619047619
C_symmetric,swaptype_holdout,oi_dft,"[1,2)",1100,0.7190909090909091
C_symmetric,swaptype_holdout,oi_dft,"[2,3)",925,0.8140540540540541
C_symmetric,swaptype_holdout,oi_dft,"[3,5)",1500,0.8706666666666667
C_symmetric,swaptype_holdout,oi_dft,"[5,10)",2605,0.9155470249520153
C_symmetric,swaptype_holdout,oi_dft,"[10,inf)",2500,0.948
C_symmetric,swaptype_holdout,pauli_dft,"[0,1)",685,0.5065693430656935
C_symmetric,swaptype_holdout,pauli_dft,"[1,2)",685,0.637956204379562
C_symmetric,swaptype_holdout,pauli_dft,"[2,3)",615,0.6764227642276422
C_symmetric,swaptype_holdout,pauli_dft,"[3,5)",1070,0.7439252336448599
C_symmetric,swaptype_holdout,pauli_dft,"[5,10)",2055,0.9041362530413626
C_symmetric,swaptype_holdout,pauli_dft,"[10,inf)",4570,0.9525164113785558
