rxn_id,elst_dft,pauli_dft,oi_dft,disp_dft,cpcm_dft,cds_dft,e_bond_kcal,e_frag1_dist_eh,e_frag1_rel_eh,e_frag2_dist_eh,e_frag2_rel_eh,d1_b3lyp,d2_b3lyp,sum_dist_b3lyp
3457,-45.632568082813314,106.63615812973056,-52.14097567772392,-13.159267182294393,-5.792670477047081,-1.0999063245043326,-11.186316401919127,-475.839708587373,-475.868457562476,-157.163844852216,-157.184088050204,18.040254246727425,12.702798522810662,30.74305276953809
3467,-34.34038970310269,82.99701165922022,-41.532812243189255,-8.501129065281393,-3.6766890777126124,-2.331996515704899,-7.380627817087362,-608.780124172491,-608.824824025089,-78.558425015299,-78.567194463039,28.04958099446951,5.502911539156113,33.552492533625625
3475,-25.30138286000684,69.6282776101701,-31.975196179193322,-7.9815032162823805,-5.135184875407987,-2.8988784089200235,-3.65926313961788,-608.539749162386,-608.557925874402,-78.562302575007,-78.567194895224,11.406058997383564,3.0699772863243027,14.476036283707867
3583,-59.29893903704989,127.19518018264029,-62.826891803159434,-13.362542287567654,-0.9524025042592701,0.48710560976232437,-8.75867514318132,-452.554698105475,-452.583812235792,-235.77164479811,-235.793630285687,18.269392603023935,13.796101746454076,32.06549434947801
3597,-26.02613446522002,71.20344003203424,-36.4176094657186,-8.923174492772855,-3.542026799597619,-3.0935922769367497,-6.793661039883057,-376.545001743969,-376.577315303489,-351.258571107588,-351.273245331325,20.277064739496534,9.208214419464538,29.48527915896107
3635,-20.029381968466982,63.064773428417794,-34.49713993819902,-9.97190434487092,-3.6113910693510802,-2.7915340027469986,-7.83704532702442,-351.267054635685,-351.273195210015,-340.599492916841,-340.617109383673,3.8532685682663432,11.05449983660451,14.907768404870854
3652,-28.34290214175173,66.4942983214751,-33.52761564968709,-11.516350177979664,-1.3675985403394386,-1.9184425464164585,-10.17803555951538,-351.263746961582,-351.271766438854,-340.640623092291,-340.671603450128,5.032297965214072,19.44046805257947,24.47276601779354
3689,-15.278925598894029,47.254536750102545,-19.897239078139403,-9.326941447798124,-5.188233898835807,-2.604480456634898,-5.038099809879261,-668.918219802502,-668.933399835972,-78.564695113535,-78.567195165027,9.525614818994923,1.5688059968797334,11.094420815874656
3690,-17.90280067909664,57.859370933122584,-27.929136639019582,-10.516130949789206,-7.943191880362406,-2.2264885160077195,-8.658657286623667,-509.672853656679,-509.680170083918,-381.424227474265,-381.428611119077,4.591127408732981,2.750778650445322,7.341906059178303
3783,-46.966844677812,97.59725300592049,-46.64606585073158,-9.645183693331541,-8.773469745798463,-2.0531872792763437,-16.48430170776857,-356.707736419181,-356.749049373721,-457.428855746388,-457.442617941837,25.924270375381717,8.635908028140484,34.5601784035222
