model,fold,member,channel,MAE,RMSE,NMAE,R2
m1,1,0,strain,14.675446394902126,22.022955336189007,0.6620036465316413,0.345316405264799
m1,1,0,Pauli,43.6132850889947,68.90806773558158,0.511110642555945,0.6282201780164056
m1,1,0,Velst,22.327955549689616,32.60268217079828,0.6001063355057235,0.556565588181895
m1,1,0,oi,32.23665438336172,48.118806151461946,0.5613959983265184,0.5671472441259664
m1,1,0,disp,1.3748540029783918,2.10383860189301,0.22869849599104364,0.9279066014812009
m1,1,0,barrier,17.92010848480425,24.215374754525566,0.6439213734114455,0.5122286535651859
m1,1,1,strain,11.7675207891282,16.844573123783434,0.5308282598985107,0.6169986705963957
m1,1,1,Pauli,46.19039513654769,75.59994145532043,0.5413121825145704,0.5525045853422526
m1,1,1,Velst,23.840448841167863,35.60326417508702,0.6407574736991,0.47118670463477597
m1,1,1,oi,32.32653453091907,50.76063868137858,0.5629612462138345,0.5183132999658933
m1,1,1,disp,1.5022252014108524,2.197688651601696,0.2498859104008472,0.9213311156566687
m1,1,1,barrier,16.326518481893903,22.039899553687388,0.5866590714449745,0.595933247382001
m1,1,2,strain,11.468722932657618,17.786001919071005,0.51734960546875,0.5729910950403332
m1,1,2,Pauli,42.54518870942911,67.93410777269808,0.4985934605606543,0.6386555214286006
m1,1,2,Velst,21.128660031944325,32.818943916939354,0.5678729840579877,0.5506632543140968
m1,1,2,oi,31.621960680955535,48.19304345936737,0.5506912092803744,0.5658106103318256
m1,1,2,disp,1.445789576336077,2.1421550492985273,0.24049819174348053,0.9252566663904327
m1,1,2,barrier,16.168490800887916,21.869585019298814,0.5809806794041737,0.6021540145435099
m1,1,3,strain,14.015859524915173,20.537413859248574,0.632249940825801,0.4306599015999084
m1,1,3,Pauli,47.012149300544884,77.66015449839001,0.550942443063084,0.5277823977979998
m1,1,3,Velst,21.871872251960124,33.80119806203084,0.5878482281354938,0.523363913764848
m1,1,3,oi,30.239100782734575,48.5032466952082,0.52660893312742,0.5602031445066531
m1,1,3,disp,1.3500349755120125,2.042865077486155,0.2245700036265998,0.9320248728546665
m1,1,3,barrier,18.12993513341922,23.633216790634528,0.6514610523073097,0.5353996066062326
m1,1,4,strain,12.103876299159541,19.097924287388572,0.5460011253896146,0.5076741981807642
m1,1,4,Pauli,44.58086395263672,69.80794823150161,0.5224498446754481,0.6184465204860452
m1,1,4,Velst,22.181861172815797,33.032629089049095,0.5961797708478608,0.5447929140846328
m1,1,4,oi,31.3366218235842,48.674733087646274,0.5457220803257888,0.5570877860096322
m1,1,4,disp,1.4375590577626685,2.056011299953821,0.23912909566863388,0.9311471923383167
m1,1,4,barrier,16.236516521425003,21.921822451980713,0.5834250404655305,0.6002511642401749
m1,2,0,strain,11.358775523437815,15.826688983148761,0.49169875041658695,0.6716343371818516
m1,2,0,Pauli,45.987229240927725,76.51758548651384,0.5519005486969014,0.5789073510386596
m1,2,0,Velst,23.057841811210487,36.43459262651846,0.6101691292289201,0.5217394823583688
m1,2,0,oi,29.541977076393785,45.92511458327124,0.5420748771637597,0.6116044720130851
m1,2,0,disp,1.3909020564358705,1.9304361290929068,0.24130164121729558,0.9313591814999304
m1,2,0,barrier,15.03732940307848,20.74380275772936,0.5139591871686757,0.6765679674278171
m1,2,1,strain,10.72507577223383,14.63628279003986,0.4642671513711295,0.7191727903684726
m1,2,1,Pauli,50.24581979338531,80.28203286178497,0.6030086172057353,0.5364550361640579
m1,2,1,Velst,24.379484620063927,38.50933004129509,0.6451431588207829,0.4657203661002919
m1,2,1,oi,32.12696287624396,50.031910313626014,0.58950758135618,0.5390350607264409
m1,2,1,disp,1.216853947396491,1.7016117653906593,0.21110678014304604,0.946667426691393
m1,2,1,barrier,15.536564832280396,21.707545354203944,0.5310224986464367,0.6458169972021237
m1,2,2,strain,12.322155325655725,18.141400744467067,0.5334015417033504,0.568561164750232
m1,2,2,Pauli,54.499439552331424,88.09764121619894,0.654057030377387,0.4418078737220945
m1,2,2,Velst,25.624033113953413,41.33574934230002,0.6780770767918267,0.38441458234449255
m1,2,2,oi,32.92333515016896,53.0542884966797,0.6041204625945679,0.48166001361960076
m1,2,2,disp,1.2956481143167824,1.8295265279248016,0.22477644272513778,0.9383477399346506
m1,2,2,barrier,15.312298470621656,21.20092518176437,0.5233573239430213,0.6621562350325296
m1,2,3,strain,11.390861604244087,17.007672551975638,0.4930876928959638,0.6208008349568628
m1,2,3,Pauli,52.45261241827801,81.52218276348451,0.6294927103037953,0.5220232807203393
m1,2,3,Velst,23.734211046984242,37.80787489801399,0.6280675791796285,0.48500711621546844
